28660	8exr	3.8	0.07
15690	8aw3	3.6	0.1
15684	8avv	3.4	0.09
34430	8h1p	3.48	3.48
27903	8e55	3.85	0.434
15046	8a03	3.2	0.05
26949	7v0s	2.5	0.7
26617	7un9	3.3	0.25
15540	8ane	3.2	0.0103
29289	8fm9	3.2	3.05
15220	8a7d	3.06	0.05
33305	7xmu	2.3	0.05
33244	7xk5	3.1	0.5
33433	7xss	3.2	0.022
14774	7zl1	2.5	0.0169
26763	7ut9	2.44	0.075
26733	7usd	3.0	0.023
27761	8dwv	3.6	0.5
33233	7xjp	2.71	0.01
34158	8gna	2.8	6.5
33430	7xsp	2.89	0.025
27795	8dze	2.99	0.25
33439	7xt4	3.08	0.056
33243	7xk4	3.1	0.55
27797	8dzg	3.1	0.375
27661	8dqv	1.52	0.612
28081	8efe	3.8	0.01
27173	8d43	2.88	0.15
27945	8e8o	2.77	0.02
26616	7un8	3.3	0.02
33528	7xzi	2.77	0.15
33193	7xhb	3.33	0.43
27175	8d45	2.62	0.15
16511	8c9m	3.2	0.0736
27252	8d8n	3.6	0.196
14716	7zh0	3.2	0.0113
33540	7y0d	3.1	1.4
34965	8hra	3.76	0.015
28065	8eey	2.53	0.02
15635	8at6	3.7	0.0242
27431	8dh7	2.99	0.6
26732	7usc	3.0	0.02
14869	7zqb	3.88	0.028
33312	7xn6	3.45	9.0
33854	7yi9	2.6	0.35
15044	8a01	3.2	0.05
26978	8ct2	3.1	0.6
14842	7zny	3.26	0.65
34963	8hr8	3.3	0.016
31704	8h05	3.4	0.012
27639	8dpn	2.49	0.057
15949	8bsh	3.8	17.0
29290	8fma	3.1	3.09
26994	8ctl	3.1	0.0924
27755	8dwi	3.4	0.155
33955	7yn9	3.53	0.012
26754	7ut4	3.9	5.85
15039	7zzq	2.6	0.23
26838	7uwq	3.05	0.604
28641	8ew3	2.65159	0.016
28867	8f5p	3.4	7.0
15686	8avx	3.5	0.13
33678	7y82	2.83	1.0
16437	8c5i	3.15	0.0248
31702	8h03	2.8	0.0207
14714	7zgx	2.88	0.46
26734	7use	3.0	0.09
27656	8dql	3.0	0.0345
29323	8fnt	2.52	0.65
34017	7ypx	3.12	0.2
33959	7ynd	3.29	0.0192
34024	7yqd	3.4	0.2
15930	8b9f	3.93	0.2
33242	7xk3	3.1	0.5
14847	7zol	3.03	0.15
27937	8e78	2.77	0.0215
27138	8d1v	2.82	0.0146
27758	8dws	3.73	0.18
34679	8hds	3.57	0.013
33719	7yat	2.2	0.0137
26760	7ut8	2.43	0.065
26948	7v0q	2.5	1.0
26973	8csw	2.5	1.0
27796	8dzf	3.69	0.15
28080	8efd	3.8	0.0117
15285	8a9l	2.2	0.0082
33853	7yi8	2.7	0.3
15561	8ap8	3.7	0.03
29327	8fnv	2.11	0.7
26801	7uur	1.67	1.157
26993	8ctk	3.52	0.17
27020	8cvx	3.5	0.65
27936	8e76	2.51	0.0214
28781	8f0u	3.1	0.461
26782	7utn	2.74	0.135
14725	7zh6	3.67	0.008
26757	7ut7	1.91	0.65
28241	8em7	2.97	0.125
34023	7yqc	2.82	0.4
27542	8dmk	3.7	0.12
27899	8e50	3.67	0.015
33958	7ync	3.14	0.0157
26976	8csz	3.2	0.158
28666	8ey2	3.5	6.44
33432	7xsr	2.97	0.036
33192	7xha	3.35	0.46
14777	7zl4	3.45	0.065
33802	7yfz	3.19	0.008
34738	8hgg	3.64	0.0262
26886	7uze	2.4	1.0
27760	8dwu	3.4	0.5
33311	7xn5	3.18	9.0
27421	8dgc	3.4	0.008
28129	8egs	3.92	0.01
26743	7usy	3.54	6.0
28244	8emc	3.6	0.185
27022	8cvz	3.52	0.4
15960	8bc2	2.6	0.0304
26974	8csx	2.4	1.0
33677	7y81	2.54	1.3
16183	8bqe	3.5	0.54716
28233	8em4	2.83	0.2
33621	7y5n	3.45	0.0112
33331	7xnz	3.6	0.0292
29326	8fnu	2.5	1.6
14848	7zoq	3.2	0.1
27104	8d0b	3.43	0.45
33245	7xk6	3.0	0.7
26595	7ulw	3.1	0.0042
33861	7yim	2.6	0.41
27253	8d8o	3.35	0.2298
15785	8b0j	3.99	0.04
33529	7xzj	2.97	0.15
33309	7xn3	2.9	0.035
26916	7uzq	2.17	1.0
26712	7urg	3.46	2.3
27021	8cvy	3.6	0.4
15646	8atd	3.1	0.027
26702	7uqy	3.0	0.0131
27320	8dc2	2.99	10.0
33187	7xgr	2.6	0.14
33306	7xmv	2.6	0.05
15043	8a00	2.6	0.007
26770	7uth	3.9	6.0
15370	8adu	3.24	0.05
28637	8evu	2.5804	0.016
15685	8avw	3.62	0.095
15378	8ae1	3.25	0.025
26742	7usx	3.09	5.0
28866	8f5o	3.5	9.0
14733	7zhj	3.53	0.0418
33956	7yna	3.64	0.02
26841	7uws	3.47	0.025
34678	8hdr	3.66	0.02
15560	8ap7	2.7	0.04
33310	7xn4	3.35	9.0
26608	7ums	3.5	0.01
33676	7y80	2.71	1.2
26701	7uqx	3.3	0.0144
28064	8eex	2.95	0.02
33431	7xsq	2.88	0.027
14873	7zqp	3.6	0.0731
33807	7yg4	3.1	0.3
33348	7xoh	3.6	0.0348
33957	7ynb	3.46	0.018
34270	8gu6	3.1	0.2
15673	8aur	3.47	0.022
15048	8a05	3.4	0.05
15361	8ade	2.78	0.025
15047	8a04	3.2	0.05
27645	8dq0	3.74	0.35
28248	8emh	3.63	0.25
27875	8e40	3.57	0.1
26858	7uxe	3.38	0.5
26756	7ut6	1.91	0.65
26917	7uzs	2.2	1.0
27574	8dnm	2.76	0.2
